feature,coefficient,abs_coefficient
Electrical_SBrkr,75.00577729343834,75.00577729343834
Exterior 1st_CBlock,62.82514999082743,62.82514999082743
Open Porch SF,-62.75258926451707,62.75258926451707
Condition 2_RRAn,59.00101796906539,59.00101796906539
Foundation_Slab,-51.64334963083879,51.64334963083879
Functional_Min2,-51.37321037735904,51.37321037735904
Garage Type_Basment,50.108181211424366,50.108181211424366
Heating_GasW,-40.03031965851121,40.03031965851121
Roof Style_Hip,35.72601473432905,35.72601473432905
Sale Type_ConLw,-25.16123194963571,25.16123194963571
Neighborhood_IDOTRR,-24.81270902964036,24.81270902964036
Alley_None,23.30458095791826,23.30458095791826
Garage Type_BuiltIn,-22.700894527114087,22.700894527114087
Electrical_FuseA,-22.1613834150011,22.1613834150011
Exter Cond_Po,-20.28756934806574,20.28756934806574
Bsmt Cond_Fa,-13.92798084815789,13.92798084815789
Paved Drive_Y,-11.910197580749795,11.910197580749795
Land Contour_Lvl,-9.694654618470935,9.694654618470935
Condition 1_RRAn,-7.623809294981977,7.623809294981977
House Style_2.5Unf,-5.840916627876821,5.840916627876821
Heating_Floor,4.339490185738494,4.339490185738494
Exterior 2nd_Other,0.0,0.0
Misc Feature_TenC,0.0,0.0
Electrical_None,0.0,0.0
Kitchen Qual_Po,0.0,0.0
